Result;ID;Potion;Hi-Potion;X-Potion;Mega-Potion;Ether;Turbo Ether;Phoenix Down;Mega Phoenix;Elixir;Megalixir;Antidote;Soft;Eye Drops;Echo Screen;Holy Water;Remedy;Power Distiller;Mana Distiller;Speed Distiller;Ability Distiller;Al Bhed Potion;Healing Water;Tetra Elemental;Antarctic Wind;Arctic Wind;Ice Gem;Bomb Fragment;Bomb Core;Fire Gem;Electro Marble;Lightning Marble;Lightning Gem;Fish Scale;Dragon Scale;Water Gem;Grenade;Frag Grenade;Sleeping Powder;Dream Powder;Silence Grenade;Smoke Bomb;Shadow Gem;Shining Gem;Blessed Gem;Supreme Gem;Poison Fang;Silver Hourglass;Gold Hourglass;Candle of Life;Petrify Grenade;Farplane Shadow;Farplane Wind;Designer Wallet;Dark Matter;Chocobo Wing;Chocobo Feather;Lunar Curtain;Light Curtain;Star Curtain;Healing Spring;Mana Spring;Stamina Spring;Soul Spring;Purifying Salt;Stamina Tablet;Mana Tablet;Twin Stars;Stamina Tonic;Mana Tonic;Three Stars;Power Sphere;Mana Sphere;Speed Sphere;Ability Sphere;Fortune Sphere;Attribute Sphere;Special Sphere;Skill Sphere;Wht Magic Sphere;Blk Magic Sphere;Master Sphere;Lv.1 Key Sphere;Lv.2 Key Sphere;Lv.3 Key Sphere;Lv.4 Key Sphere;HP Sphere;MP Sphere;Strength Sphere;Defence Sphere;Magic Sphere;Magic Def Sphere;Agility Sphere;Evasion Sphere;Accuracy Sphere;Luck Sphere;Clear Sphere;Return Sphere;Friend Sphere;Teleport Sphere;Warp Sphere;Map;Rename Card;Musk;Hypello Potion;Shining Thorn;Pendulum;Amulet;Door to Tomorrow;Wings to Discovery;Gambler's Spirit;Underdog's Secret;Winning Formula
extra_abaddon_flame;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;39;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;47;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;51;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;52;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;55;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
